"Name","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Close out report - F7 Treasury Management proposal","github issue","2","DONE","₳ndré,Miro Treasury","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:10 AM"
"Treasury Surplus from previous CC Admin proposals","CC Onboarding,github issue","2","DONE","Miro Treasury,₳ndré",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:09 AM"
"Amend CC Project Board to add action items that are not Problems","github issue,Admin Playbook","","DONE","Stephen [QADAO][SWARM],JP | $cardanobeast |11,₳ndré","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jul 4, 2022 5:36 PM"
"Track slack improvements opportunities","github issue","1","DONE","sirwolcott [SWARM][N2O]","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:05 AM"
"Town Hall Slides -  Wednesday, 27th April, 2022","github issue,slides","","DONE","","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM"
"Town Hall Slides -  Wednesday, 27th April, 2022","slides,github issue","","DONE","","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM"
"Contact Michael Yagi","github issue","2","DONE","₳ndré","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:04 AM"
"F7 CCv3: Sustaining the Circle - Reporting","github issue,Admin Meeting","","DONE","","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM"
"Agenda for Biweekly Playbook call - 6th May 2022","github issue,Admin Playbook","1","DONE","sirwolcott [SWARM][N2O]","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:04 AM"
"Add CC contact emails to website","github issue","1","DONE","Stephen [QADAO][SWARM]","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on May 11, 2022 4:03 PM"
"Send CC Admin Team Agenda - April 25","github issue,Admin Meeting","1","DONE","sirwolcott [SWARM][N2O]","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:04 AM"
"Send CC Admin Team Agenda - May 2","Admin Meeting,github issue","1","DONE","sirwolcott [SWARM][N2O]","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:03 AM"
"Submit monthly proposal reports to Project Catalyst","github issue","2","DONE","₳ndré,NaiiDz,Nori","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 1:00 AM"
"Treasury System Update","github issue","3","DONE","₳ndré","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 12:59 AM"
"Playbook biweekly working meeting, Friday 6th May 2022, 1500 UTC ","Admin Playbook,github issue","2","DONE","JP | $cardanobeast |11,Nori,Miro Treasury,sirwolcott [SWARM][N2O],₳ndré,Stephen [QADAO][SWARM]",",0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 12:59 AM"
"Add the team to 1password","github issue","1","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 12:57 AM"
"Town Hall Slides -  Monday, 09th May, 2022","slides,github issue","","DONE","","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM"
"Town Hall Slides -  Wednesday, 11th May, 2022","slides,github issue","1","DONE","","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM"
"Playbook biweekly working meeting, Friday 20th May 2022, 1500 UTC","github issue,Admin Playbook","2","DONE","Stephen [QADAO][SWARM]","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 22, 2022 11:56 PM"
"Meeting to setup CC Action items","github issue","1","DONE","JP | $cardanobeast |11,Stephen [QADAO][SWARM]",",0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 12:56 AM"
"Change payment card for CC Google Workspace","github issue","1","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 12:47 AM"
"Slide for Onboarding to CC Admin Team","github issue","1","DONE","sirwolcott [SWARM][N2O]","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on Jun 23, 2022 12:55 AM"
"Update CC Proposal Tracker sheet with F8 Proposals","Catalyst Proposals,github issue","","IN_PROGRESS","sirwolcott [SWARM][N2O]","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM"
"Town Hall Slides -  Wednesday, 18th May, 2022","github issue,slides","1","DONE","","","","","Stephen [QADAO][SWARM] created on May 11, 2022 3:49 PM, Task completed on May 18, 2022 2:55 AM"
"Setup CC Admin Workspace","dework","","DONE","Felix [SWARM],Stephen [QADAO][SWARM],₳ndré","0x065301995B09114a7E8A33c9b3cF7C777506b443,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Felix [SWARM] created on May 9, 2022 5:28 PM, Task completed on Jun 27, 2022 5:43 PM"
